representative	guide	0	0.39786859682328246
gunman	gun	1	0.32632577548454733
exuberate	triumph	1	0.26065148901713714
illuminated	ajar	0	0.3403066586487794
brumous	unexcused	0	0.45346692038175035
mound	hillock	1	0.524957096115354
coerce	hale	1	0.3686070470353606
cypher	work_out	1	0.3131188120434474
pavement	shirtdress	0	0.24853204476357965
thoroughly	bloodily	0	0.38245085154934344
detached	isolated	1	0.34704920578660203
bantam	unconsolidated	0	0.2114437157753986
socialisation	clairvoyant	0	0.3308910507392294
napping	unregretful	0	0.3235132944098643
wondrously	marvelously	1	0.3563662633480092
berth	sachem	0	0.3025572182352603
atrociousness	brill	0	0.3514032679261803
position	positioning	1	0.3988995382642469
count	exert	0	0.36970716565742456
quietness	soundlessness	1	0.42174654768482056
germicide	gorilla	0	0.14818257585342928
inmost	petty	0	0.37352594213225
absinthe	old_man	1	0.22051333403070703
sixpence	tanner	1	0.18637189750864552
dirty	selective	0	0.3600438644432108
portion	serving	1	0.3120920311679646
broil	broiling	1	0.6830191827128111
private_enterprise	Manichaeism	0	0.3873698609017655
sceptical	unbelieving	1	0.37654722221694537
sedateness	sixty	0	0.33885455660837516
confuse	stipulate	0	0.37806237290178535
brininess	salinity	1	0.31542735267112754
ambush	rejoice	0	0.3451480171718484
cinnabar	whimper	0	0.2408918931798481
physical_exercise	veteran	0	0.31069699167282466
rattail	scabbard	0	0.22637814694554614
severity	burgh	0	0.33121492383603923
duckbill	infiltrator	0	0.2507901623606733
finely	unlawfully	0	0.2972943650796724
toss_out	dispose	1	0.3804572807004551
character	covetousness	0	0.36912604675261285
bait	garlic	0	0.2731290856284554
gaiety	element	0	0.3221377301684696
fanciful	notional	1	0.3319176686866723
anonymous	regent	0	0.34429683239099873
broaden	meddle	0	0.30686713994787407
beginning	start	1	0.3998565538139444
prominence	protrusion	1	0.30666430576774556
repute	break	0	0.3723148728812494
uncontaminated	unpolluted	1	0.41542212962468483
plumber	calash	0	0.2659721557893979
mediator	reception	0	0.2769468757419795
nail	sew	0	0.3733457638612643
periwinkle	burthen	0	0.32666218409561454
halt	goad	0	0.3499655843789985
arse	butt	1	0.39141607076742924
attach_to	educe	0	0.40628560557872545
loose_off	let_drive	1	0.28276009229422827
enormousness	immensity	1	0.40099763587043213
decease	kick_the_bucket	1	0.3508398162626898
inkwell	slicer	0	0.3520388391218625
penitent	addicted	0	0.33713480161295445
